Combo,Individual,Pheno,ID,Group_n,Group,Group_d,Treatment,Perc_viability,Width_flower,Width_stem,Decomposed,Predator
P3.59.4,P3.59,P3,59,4,Aug_14,Day 21,Outside,0.05,1.1,0.11,N,Y
P3.6.1,P3.6,P3,6,1,July_25,Day 1,Outside,0.65,1,0.1,N,N
NA,P3.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
NA,P3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P3.62.4,P3.62,P3,62,4,Aug_14,Day 21,Inside,0,1.1,0.14,N,N
P3.63.3,P3.63,P3,63,3,Aug_7,Day 14,Inside,0.3,1.4,0.13,N,N
P3.64.2,P3.64,P3,64,2,Aug_1,Day 7,Inside,0.35,1.2,0.12,N,Y
P3.65.1,P3.65,P3,65,1,July_25,Day 1,Inside,0.05,1.3,0.18,N,N
P3.66.3,P3.66,P3,66,3,Aug_7,Day 14,Inside,0.25,1.5,0.1,N,N
P3.67.1,P3.67,P3,67,1,July_25,Day 1,Outside,0.1,1.4,0.14,N,N
NA,P3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
NA,P3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
NA,P3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P3.70.3,P3.70,P3,70,3,Aug_7,Day 14,Inside,0.2,1.1,0.13,N,Y
P3.71.1,P3.71,P3,71,1,July_25,Day 1,Outside,0,1.3,0.16,N,N
P3.72.1,P3.72,P3,72,1,July_25,Day 1,Inside,0.35,1.4,0.12,N,N
NA,P3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P3.74.4,P3.74,P3,74,4,Aug_14,Day 21,Outside,0.45,1.5,0.11,N,Y
P3.75.1,P3.75,P3,75,1,July_25,Day 1,Inside,0.05,1.1,0.19,N,N
NA,P3.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P3.77.4,P3.77,P3,77,4,Aug_14,Day 21,Inside,0.2,1.6,0.1,N,N
P3.78.4,P3.78,P3,78,4,Aug_14,Day 21,Inside,0.55,1.2,0.14,N,Y
NA,P3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P3.8.2,P3.8,P3,8,2,Aug_1,Day 7,Inside,0.3,1,0.11,N,N
NA,P3.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P3.81.3,P3.81,P3,81,3,Aug_7,Day 14,Outside,0.55,1.5,0.16,N,N
NA,P3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
NA,P3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
NA,P3.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
NA,P3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
NA,P3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P3.87.2,P3.87,P3,87,2,Aug_1,Day 7,Inside,0,1.5,0.13,N,N
NA,P3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
NA,P3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P3.9.2,P3.9,P3,9,2,Aug_1,Day 7,Outside,0.15,1.5,0.14,N,N
P3.90.3,P3.90,P3,90,3,Aug_7,Day 14,Inside,0,1.6,0.12,N,N
P3.91.2,P3.91,P3,91,2,Aug_1,Day 7,Outside,0,1.1,0.19,N,N
P3.92.4,P3.92,P3,92,4,Aug_14,Day 21,Inside,0.35,1.3,0.11,N,Y
P3.93.3,P3.93,P3,93,3,Aug_7,Day 14,Inside,0.3,1.4,0.17,N,N
P3.94.4,P3.94,P3,94,4,Aug_14,Day 21,Inside,0.5,1.2,0.15,N,Y
